Name,Sources,Topics,Type,Link,Headline,Questions,Impact,Update,Evidence,Report,Author,Date,URL,Topics_Text
Survey limitations hamper deep child poverty analysis,FRS / HBAI,Economic Resources; Poverty Characteristics; Population Groups; Analysis & Insights,Data linkage; Misc,<button type='button' class='btn' id='11'>Details</button>,Difficulty in capturing low incomes via surveys hampers analysis of deep child poverty,How many children live in deep poverty?,It is hard to draw confident conclusions about children in households on the very lowest of incomes,NA,"Figure 6.2 shows that the proportion of children living with income below 50% of the medianhas trended in a similar direction to the headline poverty rate, with sharper declines from 1997 to2010 and sharper rises since. The proportion with incomes below 40% of the median is just over10%, broadly the same level as in the late 1990s and early 2000s. Difficulties in measuring verylow incomes in survey data make it harder to analyse deep poverty, so we should take thisfinding with a pinch of salt. (p268)
",IFS Green Budget 2024 – Chapter 6 “Child poverty: trends and policy options”,IFS,2024,https://ifs.org.uk/publications/green-budget-2024-full-report,"Analysis & Insights (Poverty Measurement); Population Groups (Children & Families); Poverty Characteristics (Deep Poverty); Economic Resources & Living Standards (Employment, Income & Earnings)"
"FRS/admin data integration lacking, distorting poverty rates",FRS / HBAI,Population Groups; Analysis & Insights,Data linkage; Misc,<button type='button' class='btn' id='12'>Details</button>,Lack of integration of FRS with admin data leads to inaccurate estimates of poverty rates.,What is the level of poverty in the UK?,"Baseline and projected child-poverty rates may be biased up or down, risking misguided policy design and evaluation.",DWP have been working on using benefits administrative data to replace survey questions about benefits.  Updated datasets since 2018/19 were released in 2026: https://www.gov.uk/government/collections/family-resources-survey--2,"“Official figures on relative poverty and material deprivation come from the DWP’s Households Below Average Income data, based on the Family Resources Survey (FRS)… However, there is work to be done to improve the accuracy of these statistics… the FRS as it stands is likely to under-state the impact of any future anti-poverty income policy changes.” (p 7)  The authors argue that this is due to (1) the fact that survey respondents' answers may not be entirely accurate given the structure and topic of the survey, and (2) FRS may be under-representing the number of benefit claimants. ""As these two factors should go in opposite directions, it is not obvious what the net impact on child poverty levels or trends will be."" (p9)
",Turning the tide: What it will take to reduce child poverty in the UK,Resolution Foundation,2025,https://www.resolutionfoundation.org/publications/turning-the-tide/,Analysis & Insights (Poverty Measurement); Population Groups (Children & Families)
Welsh ethnicity analysis combines all non-white groups,FRS / HBAI,Economic Resources; Population Groups; Geographic Scope; Analysis & Insights,Sufficiency,<button type='button' class='btn' id='13'>Details</button>,Ethnicity analysis combines all non?white groups because of small samples.,What are the poverty rates for different ethnic groups?,Masks differences between minority groups,NA,"“All non?white ethnic groups were combined into a single category due to small sample sizes.” (p26)
",Poverty in Wales 2025,JRF,2025,https://www.jrf.org.uk/poverty-in-wales-2025,"Analysis & Insights (Intersectionality & Subgroups); Geographic Scope (Devolved Nations); Population Groups (Ethnic Minorities); Economic Resources & Living Standards (Employment, Income & Earnings)"
Data for modelling effect of policies on poverty in Scotland limited by small sample sizes,Devolved data,Geographic Scope,Data quality; Sufficiency,<button type='button' class='btn' id='14'>Details</button>,"Limitations of data available for Scotland makes it hard to robustly model the effects of various anti-poverty options, ie to account for changing incenvtives on labour market behaviour",What policies would allow the Scottish government to hit its poverty targets,Modelling is more limited than it should be if robust policy impact analysis is desired,NA,"""It is worth noting that modelling always has some level of variability. This is
even more so in Scotland, where the data is more limited than is available at
the UK level. Therefore, the values presented are indicative of how a policy may
impact families in Scotland based on what we know at the moment. For
example, they do not take into account how people’s behaviours may change in
response to a policy (such as their incentives to take on more hours of work) or
events such as those that contributed to the high levels of inflation seen in
2022\. "" (p9)
",Meeting the Moment,JRF,2025,https://www.jrf.org.uk/child-poverty/meeting-the-moment-scottish-election-2026,Geographic Scope (Devolved Nations)
Welsh minimum wage model lacks hours-worked data,Devolved data,Economic Resources; Geographic Scope; Analysis & Insights,Standardisation and Harmonisation; Sufficiency,<button type='button' class='btn' id='15'>Details</button>,Minimum?wage modelling constrained because hours?worked data are missing within data shared by examined councils,What is the effect of an increase in the minimum wage to £15 on poverty in Wales?,"Requires proxy assumptions, which may bias estimates of wage policy impacts.",NA,"“The dataset used for this analysis does not hold the number of hours worked for all affected households… Complete earnings data is only visible within the data from one of the participating councils.” (p36).
",An examination of the impact of policy interventions designed to reduce poverty in Wales,Policy in Practice,2025,https://policyinpractice.co.uk/wp-content/uploads/2025/06/Report_An-examination-of-the-impact-of-policy-interventions-designed-to-reduce-poverty-in-Wales_June2025.pdf,"Analysis & Insights (Policy Design & Evaluation); Geographic Scope (Devolved Nations); Economic Resources & Living Standards (Employment, Income & Earnings)"
Local-authority data systems are not integrated and do not support early warnings of homelessness risk,Unspecified admin data,Essential Services; Geographic Scope; Analysis & Insights,Data sharing; Standardisation and Harmonisation; Data linkage,<button type='button' class='btn' id='16'>Details</button>,"Borough-level homelessness data are fragmented and cannot be linked, limiting early-warning insights.",How can data held by London’s 33 boroughs and partner services be shared to spot households at risk sooner?,Preventative support is delayed or mis-targeted; public costs rise when crises escalate,NA,"""Personal data on households experiencing or at risk of homelessness is largely held by individual boroughs, making it harder to use data across service boundaries to identify homelessness risk and intervene more effectively. This is partly because many people move across borough boundaries, but also because data sharing agreements with other services like health and criminal justice, which are not borough based, are hard to broker with  different partners.” (p7)

""In fact, even within a single borough, the key data that could prevent homelessness and identify vulnerable households is spread across several depts/systems."" (footnote, p7)
",Pan-Approaches to Tackling Homelessness in London and Other Megacities,Centre for Homelessness Impact,2024,https://bit.ly/Pan-Approaches-to-Tackling-Homelessness-London-and-Other-Megacities,Analysis & Insights (Prevention); Geographic Scope (Local Authority); Essential Services & Living Conditions (Housing & Homelessness)
HBAI under-captures Scottish Child Payment,FRS / HBAI,Economic Resources; Population Groups; Geographic Scope; Analysis & Insights,Sufficiency,<button type='button' class='btn' id='17'>Details</button>,"HBAI suffers from significant under-reporting of Scottish Child Payment income, which makes a flagship government anti-poverty initiative hard to accurately assess.",How has the SCP affected child poverty rates in Scotland?,"Evaluation of the SCP is made more challenging, and the authors had to construct models that rely on unverified assumptions.","Since the publication of this report, DWP have updated their imputation methodology used for SCP: https://www.gov.uk/government/collections/family-resources-survey--2","""As noted above, the key data used to calculate poverty rates in the UK has failed to adequately capture the introduction of the SCP. The DWP, which collects this data, is working to resolve this in future but it remains hard to interpret child poverty rates in Scotland, particularly if you want to measure progress towards child poverty targets. We think it should be a high priority for both the DWP and Scottish Government to resolve this as quickly as possible.

It should be of significant concern for both the Scottish Government and DWP that the Scottish Government could invest over £400m per year in a targeted payment and for it not to be captured in these figures"" (p23)
",Poverty in Scotland 2024,JRF,2024,https://www.jrf.org.uk/poverty-in-scotland-2024,Analysis & Insights (Poverty Measurement); Geographic Scope (Devolved Nations); Population Groups (Children & Families); Economic Resources & Living Standards (Benefits & Social Security)
Housing Executive can't disaggregate TA costs/outcomes,Devolved data,Economic Resources; Essential Services,Wish,<button type='button' class='btn' id='18'>Details</button>,"Housing Executive cannot disaggregate temporary-accommodation costs or outcomes by user group, accommodation type or geography.",How do the costs and outcomes of different temporary-accommodation models vary across locations and user groups?,Decision-makers cannot judge value-for-money or prioritise the most effective accommodation models.,NA,"""Currently, however, there are gaps in the Housing Executive’s ability to break down costs by bed, by type and by geographical location. The Housing Executive also lacks outcome measures for people experiencing homelessness placed into different types of accommodation. Notably, although long
term hostels can provide wraparound care, the Housing Executive does not collect
data on the outcomes of people who access this support. This data gap presents
challenges when assessing how different types of temporary accommodation are
providing value for money. Our workshop highlighted that data is not readily available
in key areas including: user group; type of accommodation; and length of stay by user
group. Additionally, the Housing Executive’s systems do not allow it to easily track
costs across different geographic areas."" (p32)
",Value for Money in Homelessness: A spotlight on temporary accommodation in Northern Ireland,Centre for Homelessness Impact,2025,https://bit.ly/TA-NI-Value-For-Money-Report,Essential Services & Living Conditions (Housing & Homelessness); Economic Resources & Living Standards (Costs & Expenditure)
Disability data lacks condition-specific detail,FRS / HBAI,Economic Resources; Essential Services; Population Groups; Analysis & Insights,Wish; Data quality,<button type='button' class='btn' id='19'>Details</button>,Disability data lacks specificity about the issues people really have,"What is the prevalence, depth and drivers of poverty for people living with MS?",Lack of granularity on disability limits detailed analysis and understanding of conditions,NA,"“No National Statistics have been published on the prevalence of MS in the UK population…” (p?3).

""Moreover, estimates of poverty and the extra costs disabled people face... can only be measured properly in national data if the nature of someone's disability is also captured well. The standardised (so-calledharmonised) definition of disability forUK surveys (such as is used in theFamily resources survey) asks about‘any physical or mental healthconditions or illnesses lasting orexpected to last for 12 months or more’and the impact of these on people’sability to carry out day-to-dayactivities. It also asks about types ofimpairment, also using a harmonisedapproach, but not specific conditions(such as diagnosed conditions)."" -- the authors go on to note that the Social Metrics Commission's approach is meant in part to take account of some factors not accounted for in the FRS, like housing and other fixed costs (p33)

The conclusion highlights “a distinct lack of evidence about the experience of poverty among people affected by MS.” (p?39)
",Poverty and Multiple Sclerosis: A Rapid Evidence Assessment,Social Research & Statistics,2020,https://www.bristol.ac.uk/media-library/sites/geography/pfrc/Poverty%20and%20MS.pdf,Analysis & Insights (Intersectionality & Subgroups); Essential Services & Living Conditions (Health & Care); Population Groups (Disability); Economic Resources & Living Standards (Costs & Expenditure)
Data-sharing restrictions limit benefit receipt,Unspecified admin data,Economic Resources; Essential Services; Analysis & Insights,Data sharing,<button type='button' class='btn' id='20'>Details</button>,Restrictions on data sharing limit receipt of certain benefits,Do people perceive automatic entitlement to grants and preferential tariffs favourably when it benefits them?,People don't receive the benefits they are entitled to,NA,"""Among our focus group participants, the use of data to facilitate automatic entitlement to any grants or preferential tariffs was perceived to be of great benefit. In each group, only some of those entitled to the Warm Home Discount (a discount of £140 from their electricity bills for people who receive certain income-based benefits) had heard of it, let alone received it. There was a strong belief that people who were entitled to it should receive it automatically, as it already relies on data sharing.“Warm Homes Discount, it does state at the bottom you have to tick some boxes to say that you, you know, you're happy to give consent for them to access your data on the records,” (Working age group, London)Participants were generally supportive of the idea of this type of data sharing where it was to
their benefit, as long as they trusted the organisation that held the data."" (p45)
",The Poverty Premium: A Customer Perspective,University of Bristol Personal Finance Research Centre,2020,https://www.bristol.ac.uk/media-library/sites/geography/pfrc/The-poverty-premium-A-Customer-Perspective-Report.pdf,Analysis & Insights (Targeting & Eligibility); Essential Services & Living Conditions (Energy Poverty); Economic Resources & Living Standards (Benefits & Social Security)
Constituency-level statistics require approximation methods,Not stated,Geographic Scope,Sufficiency,<button type='button' class='btn' id='21'>Details</button>,Lack of desired geographical breakdowns of various statistics makes it necessary to use approximation methods to get various economic measures at the desired geography.,Various relating to the economic circumstances of specific constituencies in the UK,"Although the researchers say they were able to manually use ONS geoportal lookups to get reasonably accurate approximations for what they wanted, this approach would be inaccessible to others with less technical grounding.",NA,"We have good-quality age data at both the constituency and local authority level, but for a few of the metrics assessed in this report we only have access to the latter. In these cases, we use a best-fit approximation based on ward-level geographies to map from local authorities to constituencies. Box 1 details this method, using the ‘dual-coded’ age data as a test case for its accuracy. (p18-19)
",Painting the towns blue,Resolution Foundation,2020,https://www.resolutionfoundation.org/publications/painting-the-towns-blue/,Geographic Scope (Other)
Local economic data lack needed granularity,Not stated,Economic Resources; Population Groups; Geographic Scope,Sufficiency,<button type='button' class='btn' id='22'>Details</button>,Local-level economic analysis is often not possible with official statistics due to a lack of granularity,Various questions about local-area employment and economic security,We can't get a localised picture of economic security,NA,"""Quality of local-level data – Many key datasets lack the granularity needed to
understand regional gender disparities in employment and economic security."" (p3)
","Gender, data and the labour market:Why data collection is not gender neutral",Women's Budget Group,2025,https://www.wbg.org.uk/publication/gender-data-and-the-labour-market-why-data-collection-is-not-gender-neutral/,"Geographic Scope (Local Authority); Population Groups (Women & Gender); Economic Resources & Living Standards (Employment, Income & Earnings)"
LFS weaknesses prevent robust productivity metrics,LFS,Economic Resources; Geographic Scope; Analysis & Insights,Data quality,<button type='button' class='btn' id='23'>Details</button>,"Weaknesses of Labour Force Survey mean the UK lacks robust productivity metrics, so these cannot be included into economic forecasting of income growth.",How will real incomes change over the next 5 years?,"Macroeconomic forecasting is missing a robust measure of a key variable of interest, which reduces the reliability of the projections.",NA,"""There are clear fundamental reasons to expect pay growth to fall back, however. Absent a sustained pickup in productivity growth (although labour force data problems mean the
UK lacks any robust measures here), and with the jobs market weakening, it seems likely
that wage growth will fall back from where it is now"" (p11)
",Living Standards Outlook 2025,Resolution Foundation,2025,https://www.resolutionfoundation.org/app/uploads/2025/06/LivingStandardsOutlook2025.pdf,"Analysis & Insights (Poverty Measurement); Geographic Scope (UK); Economic Resources & Living Standards (Employment, Income & Earnings)"
FRS lacks geographic detail for LHA analysis,FRS / HBAI,Misc,Sufficiency,<button type='button' class='btn' id='24'>Details</button>,Lack of geographic detail in the publicly available Family Resources Survey (FRS) limits analysis of Local Housing Allowance (LHA) impacts.,How do changes in Local Housing Allowance affect households in different Broad Rental Market Areas (BRMAs)?,Researchers cannot model the impact of LHA reforms accurately across local housing markets.,NA,"“However, for setting LHA rates, the UK is divided into 200 Broad Rental Market Areas (BRMAs). Separate LHA rates are set for accommodation of each size group within each BRMA.
Therefore, to be able to model the effects of changes to LHA policy using a tax-benefit model, one needs to be able to identify any shortfall between the rent each family actually pays and the LHA rate applicable to that family. For the latter, it is necessary to know the BRMA in which each sample family lives.  However, for confidentiality reasons, the version of the FRS that is routinely released to researchers outside government through the UKDS has geographical information on each family limited only to the region or country in which they live rather than more detailed information on the BRMA in which they live.

The consequence is that, with this data, it is not possible to provide an accurate simulation of the effect on each sample household of a change to LHA policy. The result is that changes to the LHA have been subject to significantly less scrutiny from outside government than other major reforms to the social security system.” (p30)
",Stop the freeze: permanently re-link housing benefits to private rents,JRF,2024,https://www.jrf.org.uk/housing/stop-the-freeze-permanently-re-link-housing-benefits-to-private-rents,
"Without linkage between HMRC and DWP data, it is hard to know the reasons behind volatility in UC payments",Universal Credit Data Share,Economic Resources; Poverty Characteristics; Analysis & Insights,Data access; Data sharing; Data linkage,<button type='button' class='btn' id='25'>Details</button>,Lack of access to HMRC data obscures a robust understanding of how assessment periods for UC affect income volatility.,How much UC income volatility is directly caused by mismatches between assessment periods and when people are paid?,Can't confidently attribute observable income volatility to assessment periods for UC; can't get a national picture of income volatility without HMRC data.,NA,"""We show that a mismatch between Assessment Periods and when people are paid can create income volatility. This is likely to impact about one in six households in work, but without HMRC data, we cannot conclusively say that all of the month on month income volatility is because of a mismatched AP. In addition, our analysis is based on a subset of Universal Credit recipients, people on Universal Credit and claiming council tax support. This covers 46% of all UC households on average in the participating seven councils (measured on Universal Credit recipients at April 2022).  Enabling the use of earnings data, available in the data but not permitted for the purpose of this analysis, and allowing greater sharing of data on more Universal Credit recipients would help better understand the impacts and interaction of payment dates, assessment periods and income volatility.More importantly, greater sharing and allowed uses of Universal Credit data would support a wide range of additional research questions and deliver operational benefits, including better targeting of discretionary support to those most at risk."" (p29)
",Cheques and imbalances: How income varies throughout the year for Universal Credit households,Policy in Practice,2025,https://policyinpractice.co.uk/wp-content/uploads/2025/03/Report_-Cheques-and-imbalances-How-income-varies-throughout-the-year-for-Universal-Credit-households.-March-2025-1.pdf,Analysis & Insights (Transitions & Drivers); Poverty Characteristics (Fluctuating Earnings); Economic Resources & Living Standards (Benefits & Social Security)
FRS sample sizes concerningly low,FRS / HBAI,Economic Resources; Analysis & Insights,Sufficiency,<button type='button' class='btn' id='26'>Details</button>,FRS sample sizes are concerningly low,Various related to poverty,"Limits confidence in analysis.  If the trend is even lower response rates, the survey may not ultimately be useful",NA,"""Our assessment is that the 2022/23 FRS data is of comparable quality
to the pre-pandemic surveys, although the response rate of 25% of
households sampled agreeing to take part is worryingly low, as is the
expected drop in sample size to 17,000 in the 2023/24 survey."" (p162)
",UK Poverty 2025,JRF,2025,https://www.jrf.org.uk/uk-poverty-2025-the-essential-guide-to-understanding-poverty-in-the-uk,"Analysis & Insights (Poverty Measurement); Economic Resources & Living Standards (Employment, Income & Earnings)"
Household data masks women's intra-household poverty,FRS / HBAI,Population Groups; Analysis & Insights,Sufficiency,<button type='button' class='btn' id='27'>Details</button>,Household-level data masks women’s poverty due to lack of gender disaggregation.,What are the long-term impacts of early years childcare on women’s labour market participation and financial security? How does poverty affect women differently within households?,Intra-household gender dynamics are not visible,NA,"“There are some aspects that are not captured within the analysis. For example, we have not looked at the longer-term impacts of early years childcare on women’s labour market participation or workforce issues about the childcare sector itself, which is over 90 % women. There is also a challenge in how we look at poverty and income at a household level rather than having gender-disaggregated data. It can overstate women’s financial security and hide poverty.” (p.7)
",Poverty proofing the future of early years childcare,JRF,2024,https://www.jrf.org.uk/child-poverty/poverty-proofing-the-future-of-early-years-childcare,Analysis & Insights (Intra-Household Inequality); Population Groups (Women & Gender)
Wealth and Assets Survey publication lags,Wealth and Assets Survey,Economic Resources,Timeliness,<button type='button' class='btn' id='28'>Details</button>,Publication lag in the Wealth and Assets Survey limits picture of pandemic-era wealth changes and frustrates timely analysis of changes in the wealth distribution.,How did the wealth distribution change during and after the Covid-19 pandemic from March 2020 onward?,Policymakers and researchers cannot assess changes in the wealth distribution in real time.,NA,"“The Wealth and Assets survey is only available with a time lag and the current published data cover the period up until March 2020. This means these data do not tell us how the wealth distribution changed during the pandemic, a time of huge economic disruption which saw falling labour incomes, volatile asset prices, significant increases in government transfers to households and businesses, and rising aggregate savings levels.” (p15)
",Arrears fears: The distribution of UK household wealth and the impact on families,Resolution Foundation,2022,https://www.resolutionfoundation.org/publications/arrears-fears/,Economic Resources & Living Standards (Wealth & Assets)
